"1_1_1" "2_1_1" "3_1_1" "1_2_1" "2_2_1" "3_2_1" "1_3_1" "2_3_1" "3_3_1" "1_4_1" "2_4_1" "3_4_1" "1_1_2" "2_1_2" "3_1_2" "1_2_2" "2_2_2" "3_2_2" "1_3_2" "2_3_2" "3_3_2" "1_4_2" "2_4_2" "3_4_2" "1_1_3" "2_1_3" "3_1_3" "1_2_3" "2_2_3" "3_2_3" "1_3_3" "2_3_3" "3_3_3" "1_4_3" "2_4_3" "3_4_3"
"2_4_1" 1.94754943747004e-07 0.0100596430849266 0.00122444599422669 0.0209137402138018 8.1125750861922e-08 0.00178045402231658 0.0145672932722235 0.00680562667789356 0.000148460935660021 0.00273853306049505 2.16553665127372e-07 1.35884311534218e-08 1.33229472192260e-11 6.47235632371063e-07 2.8160561187124e-07 0.119424756167606 4.23255803212663e-07 0.184732896828664 4.00759764369987e-07 3.68333821129701e-08 9.42928861217406e-10 3.82496514633125e-05 8.38235531734472e-12 5.09357851776822e-08 2.80441317267798e-12 3.77728010918487e-07 6.26808397336942e-08 0.119424756167606 1.33109957399109e-06 7.35872860448486e-06 6.99553950112055e-08 0.00135921553001546 0.000106083659853376 1.03561640467926e-08 1.28062625872988e-11 3.3450074576268e-08
"3_4_1" 3.99541856572571e-13 2.06374657160445e-08 2.51196409392152e-09 4.29047624267425e-08 1.66430348270503e-13 3.65262052881474e-09 2.98849584367011e-08 1.39618161455131e-08 3.04569202305644e-10 5.61812995462093e-09 4.44262167357259e-13 2.78768122980202e-14 2.73321691587088e-17 1.3278108438335e-12 5.77716934027872e-13 2.4500116855527e-07 8.68313821293194e-13 3.78981519795638e-07 8.2216295625324e-13 7.55640785806207e-14 1.93442867522821e-15 7.84695703476370e-11 1.71964918656623e-17 1.04495309768925e-13 5.75328371157493e-18 7.74913066945743e-13 1.28590415200247e-13 2.4500116855527e-07 2.73076505706694e-12 1.50965106820031e-11 1.4351424339889e-13 2.78844524249978e-09 2.17631766333444e-10 2.12457816506097e-14 2.62721850929338e-17 6.86231868704419e-14
"1_1_2" 0.00371608337876532 0.133361269166947 0.0144482938376472 0.0285141111685936 0.0135393832769235 0.107246463463605 0.0263212113393682 0.0496844903226696 0.0729442800967482 2.00030246433281e-07 0.0949840061737062 0.0206790165510542 3.40497542172801e-07 0.188262862225135 0.0165294077938963 0.0441208989053314 0.0041584578253792 0.0671729611752006 0.0792067513239501 0.0327688084370521 0.0702209659216067 0.102590856348295 0.0553343760068484 0.0173387862985165 0.0106885511314536 7.1256312469878e-07 0.00630448269827246 0.0441208989053314 0.00513544046307647 0.201513531933121 0.0459213590273926 0.0899955390948231 0.0515799228386783 0.0681553316643876 0.0840019813011112 0.0177923731877536
"2_1_2" 0.00370075408937987 0.132811137945577 0.0143886928936455 0.028396487042028 0.0134835316979362 0.106804058946151 0.0262126331874617 0.0494795358443936 0.072643376197496 1.99205097689057e-07 0.0945921857624779 0.0205937131289811 3.39092948995794e-07 0.18748625535133 0.0164612220053613 0.0439388949085613 0.0041413036883739 0.0668958646583095 0.0788800139802014 0.0326336331742423 0.0699312960197715 0.102167656768261 0.0551061150728717 0.0172672617266296 0.0106444595767964 7.09623716394239e-07 0.00627847595142183 0.0439388949085613 0.00511425615557947 0.200682264458408 0.0457319279167973 0.0896242967082643 0.0513671494740677 0.0678741827514716 0.083655463058901 0.0177189775155769
"3_1_2" 0.00189436076547545 0.0679840386218171 0.00736535706666339 0.0145357377525086 0.00690201856478796 0.0546714031720543 0.0134178555696598 0.0253278356609914 0.0371850596977302 1.0197011534157e-07 0.0484203276146431 0.0105416142831408 1.7357661787645e-07 0.0959714149131656 0.00842625377574409 0.0224916642886356 0.00211987152772123 0.0342429943521301 0.0403775014646508 0.016704669596288 0.0357967863465641 0.0522980981194531 0.0282079975622795 0.00883885347475333 0.00544873993379859 3.63245785621325e-07 0.00321385810083578 0.0224916642886356 0.00261791136934054 0.102726254956454 0.0234094911152686 0.0458773393792064 0.0262940768956341 0.0347437807775668 0.042821982549783 0.00907008004292314
"1_2_2" 0.0677276974952382 1.60925895059599e-07 9.76931479961131e-07 4.53385137340994e-07 0.0165316228797476 1.88698862671472e-06 0.00876530784619629 0.00928701909683595 0.00150036901283677 1.69295126133069e-12 0.06751452775143 0.495648857214794 6.2057581016424e-06 2.2717517461637e-07 1.11764745377034e-06 7.01538957028218e-07 0.00507748803061619 1.1819001733644e-06 0.0263768847831531 0.00612514182512621 0.00144435398060693 8.68275287126499e-07 0.0393316139739388 0.415587926685668 0.1948048210732 8.59843786317508e-13 4.26282001322837e-07 7.01538957028218e-07 0.00627038642163821 3.5456063594671e-06 0.0152924135367876 0.0168219555997402 0.00106093195805101 5.76831038130635e-07 0.0597085164775766 0.426459808467034
"2_2_2" 0.00191515561522053 4.55054789924683e-09 2.76249729243314e-08 1.28205021541916e-08 0.000467469463125964 5.33589210612698e-08 0.000247859135355364 0.000262611714700861 4.24263668499766e-05 4.78720705758542e-14 0.00190912775295815 0.0140156055377387 1.75482009792173e-07 6.42389786447168e-09 3.16040390576646e-08 1.98376192095266e-08 0.000143577591925863 3.34209317215913e-08 0.000745866770504524 0.000173202400114626 4.08424136450228e-05 2.45524704544171e-08 0.00111219138024249 0.0117516995386692 0.00550855205105121 2.43140504768265e-14 1.20540989682733e-08 1.98376192095266e-08 0.000177309523416875 1.00260132557621e-07 0.000432427983504272 0.000475679285097474 3.00002786448065e-05 1.63112174570388e-08 0.00168839492316357 0.0120591268721181
"3_2_2" 0.000224184703199903 5.32679027271692e-10 3.23373009834162e-09 1.50074513395623e-09 5.47211422471508e-05 6.24610020518377e-09 2.9013948659534e-05 3.07408593062296e-05 4.96635489279391e-06 5.60381926581818e-15 0.000223479092386096 0.00164064180616626 2.05416113288793e-08 7.51970035587548e-10 3.69951248856862e-09 2.32215635081346e-09 1.68069370322944e-05 3.91219470581058e-09 8.73098348997464e-05 2.02747642826596e-05 4.78094015348343e-06 2.87406843491099e-09 0.000130191140865826 0.00137563300456272 0.000644821285963192 2.8461594172373e-15 1.41103134286737e-09 2.32215635081346e-09 2.07555368168613e-05 1.17362724373836e-08 5.06192490922335e-05 5.56821693759018e-05 3.51177915280052e-06 1.9093620462869e-09 0.000197640500712034 0.0014116199003309
"1_3_2" 0.0082499885861465 0.00703132860932213 0.0212008991727584 0.00222883937016372 0.0526293300743493 0.018537744506811 0.0173117653375978 0.0190794250474922 0.02685401728388 8.33738483059669e-08 0.0209516318300678 0.032663561268208 7.55930518832943e-07 0.00992595569542275 0.0242546498542742 0.00344876247222915 0.0161644622222315 0.0116109674092366 0.0520951970786692 0.0125836054754717 0.0258514448295123 0.0427605057098949 0.0122056914668541 0.0273874972332322 0.0237293988990724 3.75691196997418e-08 0.00925096786682183 0.00344876247222915 0.0199621198159799 0.034831977195304 0.030203009322628 0.0345593389731299 0.0189888520055847 0.028407565279508 0.0185292098755919 0.0281039608576252
"2_3_2" 0.0336515252032404 0.0286806374867228 0.0864780096837298 0.00909138763718853 0.214673900325221 0.0756150593383504 0.0706143167942088 0.0778245625608699 0.109536956324305 3.40080125961712e-07 0.0854612535782748 0.133233960722133 3.08342425456462e-06 0.0404877588329835 0.09893419273785 0.0140674276142748 0.0659344921739255 0.0473608852092285 0.212495183375698 0.0513282548677154 0.105447484943352 0.174419178956944 0.0497867517913343 0.111713009511965 0.0967917054395426 1.53243627580573e-07 0.0377344980631218 0.0140674276142748 0.0814250554510553 0.142078882440487 0.123197422495934 0.140966797022543 0.0774551170797447 0.115873845034322 0.0755802467619971 0.114635449156785
